cpt_cleaned,cpt_cleaned_standard,test_type,test_classification
ULTRASOUND-GENERAL ULTRASOUND - WHOLE ABDOMEN,Ultrasound - Whole Abdomen,Imaging,02 PCC+
DENGUE NSI (QUALITATIVE)~ISRE,Dengue Test,Laboratory,01 Clinic+
MRI- LOWER ABDOMEN W/O CONTRAST,MRI - Lower Abdomen,Imaging,03 Hospital Only
THYROID SCAN,Thyroid Scan,Laboratory,01 Clinic+
CAROTID DUPLEX SCAN (HS),Carotid Duplex Scan (Hs,Uncategorized,02 PCC+
URODYNAMICS STUDY 1,Urodynamics Study 1,Uncategorized,02 PCC+
IOL MASTER(BIOMETRY)PER EYE,Iol Master(Biometry)Per Eye,Ophthalmology,02 PCC+
IMRT COMPLEX TREATMENT BREAST PACKAGE,Imrt Complex Treatment Breast Package,Laboratory,01 Clinic+
CT SCAN-DYNAMIC PANCREAS,CT Scan - Dynamic Pancreas,Imaging,03 Hospital Only
EMG NCV 2 EXTREMITIES BOTH,Emg Ncv 2 Extremities Both,Uncategorized,02 PCC+
MRI - CRANIAL WITH CONTRAST SEIZURE PROTOCOL,MRI - Cranial,Imaging,03 Hospital Only
TRIGLYCERIDES,Triglycerides,Uncategorized,02 PCC+
RESTING MPI-THALLIUM 201,Resting Mpi-Thallium 201,Uncategorized,02 PCC+
EXTENDED EMG STUDY,Extended Emg Study,Uncategorized,02 PCC+
PERIPHERAL ARTERIAL DUPLEX SCAN,Peripheral Arterial Duplex Scan,Uncategorized,02 PCC+
CYTOLOGY SMEAR AND CELL BLOCK,Cytology Smear And Cell Block,Uncategorized,02 PCC+
CT SCAN-WHOLE ABDOMEN WITH CONTRAST (TRIPLE)- KLIKFIT (TRIPHASIC),CT Scan - Whole Abdomen,Imaging,03 Hospital Only
XRAY-FOREARM APL/ AP & LAT/ AP/LAT (UNILATERAL),X-Ray - Forearm Apl/ Ap & Lat/ Ap/Lat (Unilateral),Imaging,02 PCC+
"STRESS ECHO, W/OUT MEDICINE MODIFIED BRUCE PROTOCOL","Stress Echo, Ut Medicine Modified Bruce Protocol",Uncategorized,02 PCC+
2D ECHO WITH DOPPLER AND CONTRAST STUDY,2D Echo with Doppler,Cardiology,02 PCC+
CT SCAN-MAXILLO FACIAL W/ CONTRAST,CT Scan - Maxillo Facial,Imaging,03 Hospital Only
SPUTUM MTB GENEXPERT,Sputum Mtb Genexpert,Laboratory,01 Clinic+
RADICAL,Radical,Uncategorized,02 PCC+
BONE SCAN-NIPN,Bone Scan-Nipn,Uncategorized,02 PCC+
TILT TABLE TEST CARDIO,Tilt Table Test Cardio,Cardiology,02 PCC+
XRAY-SALINE INFUSION SONOGRAM (SIS),X-Ray - Saline Infusion Sonogram (Sis),Imaging,02 PCC+
MRI -PARANASAL SINUSES W/ CONTRAST,MRI - Paranasal Sinuses,Imaging,03 Hospital Only
24 HOUR URINE METANEPHRINE,24 Hour Urine Metanephrine,Laboratory,01 Clinic+
MRI - PROSTATE MULTIPARAMETRIC,MRI - Prostate Multiparametric,Imaging,03 Hospital Only
PULMONARY FUNCTION TEST PRE & POST,Pulmonary Function Test Pre & Post,Laboratory,01 Clinic+
ACCENTURE- POTASSIUM (K),Potassium (K),Laboratory,01 Clinic+
MRI+MRA/MRV - BRAIN,MRI - +Mra/Mrv - Brain,Imaging,03 Hospital Only
ERA & PRA (ESTROGEN & PROGESTERONE RECEPTOR ARRAY),Era & Pra (Estrogen & Progesterone Receptor Array,Uncategorized,02 PCC+
ULTRASOUND-GUIDED FINE NEEDLE ASPIRATION BIOPSY (FNAB) THYROID,Ultrasound - Guided Fine Needle Aspiration Biopsy (Fnab) Thyroid,Imaging,03 Hospital Only
IN-VITRO GFR,In-Vitro Gfr,Uncategorized,02 PCC+
SPIROMETRY WITH POST BRONCHODILATOR,Spirometry Post Bronchodilator,Uncategorized,02 PCC+
MRI - BRAIN ANGIOGRAM WITH CONTRAST (ENHANCED),MRI - Brain Angiogram,Imaging,03 Hospital Only
HEPATITIS B-DNA (HBV-DNA VIRAL LOAD,Hepatitis B-Dna (Hbv-Dna Viral Load,Uncategorized,02 PCC+
MRI-SEIZURE / MPRAGE,MRI - Seizure / Mprage,Imaging,03 Hospital Only
ULTRASOUND-ANY 2 ORGAN,Ultrasound - Any 2 Organ,Imaging,02 PCC+
GENE EXPERT / TB-PCR,Gene Expert / Tb-Pcr,Uncategorized,02 PCC+
BONE MINERAL DENSITOMETRY (DEXA SCAN),Bone Mineral Densitometry (Dexa Scan,Uncategorized,02 PCC+
URODYNAMICS,Urodynamics,Uncategorized,02 PCC+
MRA - OTHERS,Mra - Others,Uncategorized,02 PCC+
TEAR DIAGNOSTIC PACKAGE (OSMOLALITY + OSA FOR BOTH EYE),Tear Diagnostic Package (Osmolality + Osa For Both Eye,Ophthalmology,02 PCC+
ANTI CARDIO (ACA IGG),Anti Cardio (Aca Igg,Cardiology,02 PCC+
ANTI CARDIO (ACA IGM),Anti Cardio (Aca Igm,Cardiology,02 PCC+
ULTRASOUND-SCROTAL W/ COLOR FLOW,Ultrasound - Scrotal,Imaging,02 PCC+
URINE-ALBUMIN,Urine-Albumin,Laboratory,01 Clinic+
PERIPHERAL VENOUS DUPLEX STUDY LOWER EXT. (PORTABLE),Peripheral Venous Duplex Study Lower Ext. (Portable,Uncategorized,02 PCC+
CT SCAN-PARANASAL W/ CONTRAST,CT Scan - Paranasal,Imaging,03 Hospital Only
"CT - (STAT) WHOLE ABDOMEN WITH ORAL, RECTAL AND IV CONTRAST - TRIPLE PHASE","Ct - () Whole Abdomen Oral, Rectal And Iv Contrast - Triple Phase",Laboratory,01 Clinic+
CT SCAN-HEAD TRAUMA,CT Scan - Head Trauma,Imaging,03 Hospital Only
URINE CULTURE AND SENSITIVITY - SEND OUT,Urine Culture And Sensitivity,Laboratory,01 Clinic+
OCT (OPTICAL COHERENCE TOMOGRAPHY)-RETINA BOTH EYES,Oct (Optical Coherence Tomography)-Retina Both Eyes,Ophthalmology,02 PCC+
"AUTOMATED VISUAL FIELD, OU","Automated Visual Field, Ou",Uncategorized,02 PCC+
OCT OPTIC NERVE HEAD (GLAUCOMA),Oct Optic Nerve Head (Glaucoma,Uncategorized,02 PCC+
RETINOSCOPY,Retinoscopy,Uncategorized,02 PCC+
CT SCAN UPPER ABDOMEN W/ IV CONTRAST,CT Scan - Upper Abdomen,Imaging,03 Hospital Only
ULTRASOUND-APPENDIX,Ultrasound - Appendix,Imaging,02 PCC+
ESOPHAGOGASTRODUODENOSCOPY WITH ANESTHESIA,Esophagogastroduodenoscopy Anesthesia,Laboratory,01 Clinic+
ULTRASOUND-ARTERIAL/VENOUS DUPLEX SCAN OF BOTH EXTREMITIES,Ultrasound - Arterial/Venous Duplex Scan Of Both Extremities,Imaging,02 PCC+
XRAY-FOOT APL OR APO,X-Ray - Foot Apl Or Apo,Imaging,02 PCC+
THYROID STIMULATING HORMONE(TSH),Thyroid Stimulating Hormone (TSH),Laboratory,01 Clinic+
MRI PELVIS- CERVIX PROTOCOL~MRCT,MRI - Pelvis- Cervix Protocol~Mrct,Imaging,03 Hospital Only
ELECTROMYOGRAPHY LOWER EXTREMITY (EMG LE),Electromyography Lower Extremity (Emg Le,Uncategorized,02 PCC+
"DENGUE IGG, IGM~ISRE",Dengue Test,Laboratory,01 Clinic+
ULTRASOUND-GUIDED FINE NEEDLE ASPIRATION BIOPSY BREAST B,Ultrasound - Guided Fine Needle Aspiration Biopsy Breast B,Imaging,03 Hospital Only
FFA (FUNDUS FLUORESCEIN ANGIOGRAM),Ffa (Fundus Fluorescein Angiogram,Uncategorized,02 PCC+
XRAY-HIPS LAT . 11X14,X-Ray - Hips Lat . 11X14,Imaging,02 PCC+
MRI-HEAD - INTERNAL ACOUSTIC CANAL (PLAIN),MRI - Head - Internal Acoustic Canal (Plain),Imaging,03 Hospital Only
CT BRAIN/HEAD W/O CONTRAST,Ct Brain/Head Contrast,Laboratory,01 Clinic+
ULTRASOUND - KUB,Ultrasound - Kub,Imaging,02 PCC+
XRAY-CERVICO-THORACIC APL 11X14,X-Ray - Cervico-Thoracic Apl 11X14,Imaging,02 PCC+
(OGTT) ORAL GLUCOSE TOLERANCE TEST,Ogtt) Oral Glucose Tolerance Test,Laboratory,01 Clinic+
CT SCAN- ABDOMINAL ANGIOGRAM,CT Scan - Abdominal Angiogram,Imaging,03 Hospital Only
VDRL (QUANTITATIVE),Syphilis Test (VDRL/RPR),Laboratory,01 Clinic+
CT SCAN - WHOLE ABDOMEN WITH CM,CT Scan - Whole Abdomen,Imaging,03 Hospital Only
CT SCAN-PNS PLAIN,CT Scan - Pns Plain,Imaging,03 Hospital Only
(TSH) THYROID STIMULATING HORMONE ANTIBODY,Thyroid Stimulating Hormone (TSH),Laboratory,01 Clinic+
ULTRASOUND HBT (HEPATO BILIARY TREE),Ultrasound - Hbt (Hepato Biliary Tree),Imaging,02 PCC+
XRAY-CHEST PA AND APICOLORDOTIC VIEW,X-Ray - Chest Pa And Apicolordotic View,Imaging,02 PCC+
MRI-HIP - PLAIN,MRI - Hip - Plain,Imaging,03 Hospital Only
PHYSICAL THERAPY USE OF THERA MATTRESS,Physical Therapy Use Of Thera Mattress,Physical Therapy,02 PCC+
CT/HRCT CHEST WITH CONTRAST,Ct/Hrct Chest Contrast,Laboratory,01 Clinic+
MRI - SHOULDER /ARM/FOREARM W/ CONTRAST,MRI - Shoulder /Arm/Forearm,Imaging,03 Hospital Only
ELECTROENCEPHALOGRAM (EEG) 21 CHANNEL,Electroencephalogram (Eeg) 21 Channel,Uncategorized,02 PCC+
MICROALBUMIN/CREATININE (RANDOM URINE),Creatinine,Laboratory,01 Clinic+
FREE THYROXINE FT4 (RIA),Free T4 (FT4),Laboratory,01 Clinic+
CT SCAN-WHOLE ABDOMEN TRIPHASE (CVD),CT Scan - Whole Abdomen Triphase (Cvd),Imaging,03 Hospital Only
"IMMUNOGLUBIN SUBCLASS PANEL (IGG 1,2,3,4) (SEND OUT)","Immunoglubin Subclass Panel (Igg 1,2,3,4",Laboratory,01 Clinic+
QUANTIFERON TB (QFT) ELISA,Quantiferon Tb (Qft) Elisa,Uncategorized,02 PCC+
VITAMIN D (SEND-OUT),Vitamin D (Send-Out,Uncategorized,02 PCC+
PURE TONE AUDIOMETRY &SPEECH (ANY 2 TESTS),Pure Tone Audiometry &Speech (Any 2 Tests,Laboratory,01 Clinic+
ARTERIOVENOUS DUPLEX SCAN,Arteriovenous Duplex Scan,Uncategorized,02 PCC+
ULTRASOUND-VENOUS AND ARTERIAL LOWER EXTREMITIES,Ultrasound - Venous And Arterial Lower Extremities,Imaging,02 PCC+
LARGE BIOPSY,Large Biopsy,Uncategorized,03 Hospital Only
TELE - DIGITAL EEG MONITORING,Tele - Digital Eeg Monitoring,Uncategorized,02 PCC+
XRAY-LUMBO SACRAL APL FLEXION AND EXTENSION,X-Ray - Lumbo Sacral Apl Flexion And Extension,Imaging,02 PCC+
XRAY-ABDOMEN,X-Ray - Abdomen,Imaging,02 PCC+
XRAY-KNEE APL LEFT,X-Ray - Knee Apl Left,Imaging,02 PCC+
STRESS EXERCISE SESTAMIBI MYOCARDIAL PERFUSION IMAGING,Stress Exercise Sestamibi Myocardial Perfusion Imaging,Laboratory,01 Clinic+
BIO/SM/CTOPO (BILATERAL),Bio/Sm/Ctopo (Bilateral,Uncategorized,02 PCC+
CT SCAN-CHEST IV CONTRAST,CT Scan - Chest Iv Contrast,Imaging,03 Hospital Only
XRAY-ANKLE APL-O (UNI) 11X14,X-Ray - Ankle Apl-O (Uni) 11X14,Imaging,02 PCC+
ACCENTURE-XRAY-SKULL-APL 11X14,X-Ray - Skull-Apl 11X14,Imaging,02 PCC+
HUMAN PAPILLOMAVIRUS (HPV) GENOTYPING,Human Papillomavirus (Hpv) Genotyping,Uncategorized,02 PCC+
ULTRASOUND-KUB WITH PRE AND POST VOID RESIDUAL,Ultrasound - Kub,Imaging,02 PCC+
CT SCAN - LUMBAR SPINE PLAIN,CT Scan - Lumbar Spine Plain,Imaging,03 Hospital Only
GLYCOSYLATED HEMOGLOBIN,HbA1c,Laboratory,01 Clinic+
MRI THORACIC W/ CONTRAST,MRI - Thoracic,Imaging,03 Hospital Only
ANA PROFILE (LUPUS PANEL),Ana Profile (Lupus Panel,Laboratory,01 Clinic+
BASIC GASTROSCOPY WITH ANESTHESIA SUPPLIES,Basic Gastroscopy Anesthesia Supplies,Laboratory,01 Clinic+
CT SCAN-NECK CONTRAST PHASE,CT Scan - Neck Contrast Phase,Imaging,03 Hospital Only
MYOCARDIAL PERFUSION IMAGING TL-201 WITH DIPYRIDAMOLE/ EXERCISE STRESS TEST,Myocardial Perfusion Imaging Tl-201 Dipyridamole/ Exercise Stress Test,Laboratory,01 Clinic+
MRI -CERVICAL SPINE W/ IV CONTRAST,MRI - Cervical Spine,Imaging,03 Hospital Only
MRI-BRAIN WITH MRA (CIRCLE OF WILLIS),MRI - Brain,Imaging,03 Hospital Only
CT ANGIOGRAPHY OF THE NECK/CAROTID,Ct Angiography Of The Neck/Carotid,Uncategorized,02 PCC+
XRAY-LEG APL BILATERAL,X-Ray - Leg Apl Bilateral,Imaging,02 PCC+
BONE MINERAL DENSITY STUDIES,Bone Mineral Density Studies,Uncategorized,02 PCC+
CT ANGIOGRAPHY - BRAIN WITH CONTRAST (NON-IONIC),Ct Angiography - Brain Contrast (Non-Ionic,Laboratory,01 Clinic+
MRI LEFT LEG W/O CONTRAST,MRI - Left Leg,Imaging,03 Hospital Only
CENTRAL DXA (BONE MINERAL DENSITY TEST),Central Dxa (Bone Mineral Density Test,Laboratory,01 Clinic+
MRI FOOT W/ CONTRAST,MRI - Foot,Imaging,03 Hospital Only
TPAG (TOTAL PROTEIN/ALBUMIN/GLOBULIN),Tpag (Total Protein/Albumin/Globulin,Laboratory,01 Clinic+
CT SCAN-UPPER ABDOMEN WITH IV CONTRAST,CT Scan - Upper Abdomen,Imaging,03 Hospital Only
MRI THORACO LUMBAR WITH CONTRAST,MRI - Thoraco Lumbar,Imaging,03 Hospital Only
ACCENTURE-BLOOD UREA NITROGEN (BUN),Blood Urea Nitrogen (BUN),Laboratory,01 Clinic+
XRAY-CERVICO THORACIC SPINE APL,X-Ray - Cervico Thoracic Spine Apl,Imaging,02 PCC+
UREA BREATH TEST FOR H. PYLORI,Urea Breath Test For H. Pylori,Laboratory,01 Clinic+
CT SCAN-CHEST AND WHOLE ABDOMEN TRIPHASIC,CT Scan - Chest And Whole Abdomen Triphasic,Imaging,03 Hospital Only
URINE FLOW CYTOMETRY (UFC),Urine Flow Cytometry (Ufc,Laboratory,01 Clinic+
ANTI-NEUTROPHIL CYTOPLASMIC ANTIBODY (ANCA),Anti-Neutrophil Cytoplasmic Antibody (Anca,Laboratory,01 Clinic+
ANTI-DSDNA SEND OUT,Anti-Dsdna,Uncategorized,02 PCC+
MRI LEFT LEG PLAIN,MRI - Left Leg Plain,Imaging,03 Hospital Only
PELVIS MRCE (PROSTATE/UTERUS/ANORECTAL),Pelvis Mrce (Proe/Uterus/Anorectal,Uncategorized,02 PCC+
LOCALIZED PHOTOTHERAPY,Localized Phototherapy,Uncategorized,02 PCC+
ARTERIAL VENOUS DUPLEX SCAN UPPER EXTREMITIES (BILATERAL),Arterial Venous Duplex Scan Upper Extremities (Bilateral,Uncategorized,02 PCC+
MRI-KNEE JOINTPLAIN,MRI - Knee Jointplain,Imaging,03 Hospital Only
CTSCAN- ANGIOGRAPHY OF THE CEREBRAL ARTERIES,Ctscan- Angiography Of The Cerebral Arteries,Uncategorized,02 PCC+
VISUAL FIELD/ PERIMETRY-BOTH EYES W/ READER''''''',Visual Field/ Perimetry-Both Eyes Reader''''''',Ophthalmology,02 PCC+
SGPT/SGOT,SGPT/ALT,Laboratory,01 Clinic+
2D ECHO COLOUR DOPPLER PEDIA,2D Echo with Doppler,Cardiology,02 PCC+
CT SCAN EXTREMITIES (CONTRAST),CT Scan - Extremities (Contrast),Imaging,03 Hospital Only
CT SCAN-CHEST/THORAX (NO PF) -WITH CONTRAST,CT Scan - Chest/Thorax (No Pf),Imaging,03 Hospital Only
WRIST PLAIN,Wrist Plain,Uncategorized,02 PCC+
XRAY - THIGH/FEMUR APL UNILATERAL,X-Ray - Thigh/Femur Apl Unilateral,Imaging,02 PCC+
PROTIME (PT) W/ INT''L NORMALIZED RATIO (INR),Protime (Pt) Int''L Normalized Ratio (Inr,Uncategorized,02 PCC+
PLASMA ALDOSTERONE C/O SLMC (SEND-OUT),Plasma Aldosterone C/O Slmc (Send-Out,Uncategorized,02 PCC+
TISSUE C-ERBA-2 (HER-2),Tissue C-Erba-2 (Her-2,Uncategorized,02 PCC+
CT SCAN - HEAD / CRANIAL,CT Scan - Head / Cranial,Imaging,03 Hospital Only
MRI-LUMBAR SPINE WITH SPINE SURVEY,MRI - Lumbar Spine,Imaging,03 Hospital Only
EBER (S.O.),Eber (S.O.,Uncategorized,02 PCC+
BRAIN NATRIURETIC PEPTIDE,Brain Natriuretic Peptide,Uncategorized,02 PCC+
"CTSCAN - ABDOMEN, WHOLE DOUBLE/IV-ORAL ROUTINE~CTCT","Ctscan - Abdomen, Whole Double/Iv-Oral",Uncategorized,02 PCC+
CT-SCAN - CHEST & MEDIASTINUM WITH CONTRAST,Ct-Scan - Chest & Mediastinum With Contrast,Laboratory,01 Clinic+
TREADMILL EXERCISE TEST,Treadmill Exercise Test,Cardiology,02 PCC+
ARTERIAL DUPLEX SCAN OF LOWER EXTREMITIES,Arterial Duplex Scan Of Lower Extremities,Uncategorized,02 PCC+
MRI -NASOPHARYNX,MRI - Nasopharynx,Imaging,03 Hospital Only
PLAIN MRI LUMBAR SPINE,MRI - Lumbar Spine,Imaging,03 Hospital Only
ULTRASOUND-CHEST BILATERAL,Ultrasound - Chest Bilateral,Imaging,02 PCC+
RAI WHOLE BODY SCAN,Rai Whole Body Scan,Uncategorized,02 PCC+
REGIONAL SPECT CT WITHOUT CONTRAST,Regional Spect Ct Out Contrast,Laboratory,01 Clinic+
URINE CULTURE ONLY,Urine Culture Only,Laboratory,01 Clinic+
TEAR BREAK UP TIME,Tear Break Up Time,Uncategorized,02 PCC+
HPV - DNA AND THIN PREP PAP TEST PACKAGE (WHCC USE),Hpv - Dna And Thin Prep Pap Test Package (Whcc Use,Laboratory,01 Clinic+
ER/PRA(ESTROGEN/PROGESTERONE RECEPTOR ASSAY),Er/Pra(Estrogen/Progesterone Receptor Assay,Uncategorized,02 PCC+
PROTEIN C,Protein C,Laboratory,01 Clinic+
SESTAMIBI STRESS/REST MPI,Sestamibi Stress/Rest Mpi,Uncategorized,02 PCC+
TC99M SESTAMIBI STRESS/ REST WITH DIPYRIDAMOLE,Tc99M Sestamibi Stress/ Rest Dipyridamole,Uncategorized,02 PCC+
IMMUNODEFICIENCY PANEL 3,Immunodeficiency Panel 3,Laboratory,01 Clinic+
CT SCAN-CRANIAL ANGIOGRAM,CT Scan - Cranial Angiogram,Imaging,03 Hospital Only
ULTRASOUND - TRANSVAGINAL/TRANSRECTAL~UZGN,Ultrasound - Transvaginal/Transrectal~Uzgn,Imaging,02 PCC+
ALLERGY PANEL - AERO GROUP,Allergy Panel - Aero Group,Laboratory,01 Clinic+
CHEMOTHERAPY,Chemotherapy,Uncategorized,02 PCC+
CT SCAN - BRAIN ANGIO,CT Scan - Brain Angio,Imaging,03 Hospital Only
CT SCAN-WHOLE ABDOMEN (PLAIN STUDIES),CT Scan - Whole Abdomen (Plain Studies),Imaging,03 Hospital Only
DISC PHOTO (GLAUCOMA) - BOTH EYES,Disc Photo (Glaucoma) - Both Eyes,Ophthalmology,02 PCC+
ESWL - EXTRACORPEAL SHOCK WAVE LITHOTRIPSY(EXCLUSIVE OF PHIC),Eswl - Extracorpeal Shock Wave Lithotripsy(Exclusive Of Phic,Urology,03 Hospital Only
CTSCAN- CORONARY CALCIUM SCORING,Calcium (Ca),Laboratory,01 Clinic+
BCR ABL (PCR)-NKTI,Bcr Abl (Pcr)-Nkti,Uncategorized,02 PCC+
ELECTROENCEPHALOGRAM (EEG-SLEEP DEPRIVED),Electroencephalogram (Eeg-Sleep Deprived,Uncategorized,02 PCC+
FINE NEEDLE ASPIRATION BIOPSY (FNAB) (4) SLIDES,Fine Needle Aspiration Biopsy (Fnab) (4) Slides,Uncategorized,03 Hospital Only
MRI-BRAIN WITH ORBITS,MRI - Brain,Imaging,03 Hospital Only
MRI-BRAIN WITH SELLA/IAC/TMJ/ORBITS PLAIN,MRI - Brain,Imaging,03 Hospital Only
MRI - ELBOW JOINT,MRI - Elbow Joint,Imaging,03 Hospital Only
ASPARTATE AMINO TRANSFERASE (AST/SGOT),SGOT/AST,Laboratory,01 Clinic+
"CHEM10 (CHEM8+ SGOT,SGPT)",SGPT/ALT,Laboratory,01 Clinic+
MRI THORACO LUMBAR~MRPN,MRI - Thoraco Lumbar~Mrpn,Imaging,03 Hospital Only
GLAUCOMA PACKAGE (OCT+PERIMETRY) BOTH EYES,Glaucoma Package (Oct+Perimetry) Both Eyes,Ophthalmology,02 PCC+
CATARACT SURG W/IOL 1 STAGE,Cataract Surg Iol 1 Stage,Laboratory,01 Clinic+
ACCENTURE-SODIUM (NA),Sodium (Na),Laboratory,01 Clinic+
CT GUIDED LUNG BIOPSY,Ct Guided Lung Biopsy,Uncategorized,03 Hospital Only
HISTOPATH LEVEL 4,Histopath Level 4,Uncategorized,02 PCC+
MRI-KNEE WITH CONTRAST (BILATERAL),MRI - Knee,Imaging,03 Hospital Only
LIPID PROFILE,Lipid Profile,Laboratory,01 Clinic+
HISTOPATH SMALL,Histopath Small,Uncategorized,02 PCC+
HOLTER MONITORING/ECG RECORDING (24 HOURS),Electrocardiogram (ECG),Cardiology,02 PCC+
CT SCAN - STONOGRAM (KUB),CT Scan - Stonogram (Kub),Imaging,03 Hospital Only
MRA - SPINE LUMBAR,Mra - Spine Lumbar,Uncategorized,02 PCC+
MRI-BRAIN W/ MRA INCLUDING CAROTID W/ CONTRAST,MRI - Brain,Imaging,03 Hospital Only
THYROID STIMULATING HORMONE (TSH) - SEND OUT,Thyroid Stimulating Hormone (TSH),Laboratory,01 Clinic+
"TISSUE ERA, PRA, HER2NEU (PACK 1)","Tissue Era, Pra, Her2Neu (Pack 1",Uncategorized,02 PCC+
TREADMILL STRESS ECHO (HS),Treadmill Exercise Test,Cardiology,02 PCC+
URINE CALCIUM (RANDOM),Calcium (Ca),Laboratory,01 Clinic+
CT SCAN-WHOLE ABDOMEN (TRIPHASE) STAT,CT Scan - Whole Abdomen (Triphase) Stat,Imaging,03 Hospital Only
MRI- LEFT HAND W/O CONTRAST,MRI - Left Hand,Imaging,03 Hospital Only
LAB-SO-HLA B27 (TMC MAIN),Lab-So-Hla B27 (Tmc Main,Uncategorized,02 PCC+
QUANTIFERON TB-GOLD PLUS ELISA TEST,Quantiferon Tb-Gold Plus Elisa Test,Laboratory,01 Clinic+
KUB WITH PROSTATE ULTRASOUND,Ultrasound,Imaging,02 PCC+
FREE THROXINE (FT4) - SEND OUT,Free T4 (FT4),Laboratory,01 Clinic+
CARBOHYDRATE ANTIGEN 19 - 9 (CA 19 - 9),Carbohydrate Antigen 19 - 9 (Ca 19 - 9,Laboratory,01 Clinic+
TB PCR,Tb Pcr,Uncategorized,02 PCC+
SERUM NA,Serum Na,Laboratory,01 Clinic+
CANCER ANTIGEN 15-3 (CA 15-3),Cancer Antigen 15-3 (Ca 15-3,Laboratory,01 Clinic+
THYROID STIMULATING HORMONE (TSH) EIA,Thyroid Stimulating Hormone (TSH),Laboratory,01 Clinic+
ACCENTURE-XRAY-ABDOMEN-PLAIN,X-Ray - Abdomen-Plain,Imaging,02 PCC+
MRI-HAND WITH CONTRAST UNILATERAL,MRI - Hand,Imaging,03 Hospital Only
ULTRASOUND-ARTERIAL DOPPLER LOWER EXTREMITIES BILATERAL,Ultrasound - Arterial Doppler Lower Extremities Bilateral,Imaging,02 PCC+
H PYLORI,H Pylori,Uncategorized,02 PCC+
CRANIAL MRI / MRA / MRV WITH CONTRAST,MRI - / Mra / Mrv,Imaging,03 Hospital Only
MYELOPROLIFERATIVE NEOPLASMS PANEL (FISH) C/O NKTI (SEND-OUT),Myeloproliferative Neoplasms Panel (Fish) C/O Nkti (Send-Out,Laboratory,01 Clinic+
SPUTUM GENE XPERT,Sputum Gene Xpert,Uncategorized,02 PCC+
TB GENEXPERT,Tb Genexpert,Uncategorized,02 PCC+
DILATED RETINAL EXAM (BOTH EYES),Dilated Retinal Exam (Both Eyes,Ophthalmology,02 PCC+
SALMONELLA IGG/IGM,Salmonella Igg/Igm,Laboratory,01 Clinic+
XRAY-THORACOLUMBOSACRAL,X-Ray - Thoracolumbosacral,Imaging,02 PCC+
CT SCAN-WHOLE ABDOMEN WITH RECTAL /IV CONTRAST,CT Scan - Whole Abdomen,Imaging,03 Hospital Only
TB QUANTIFERON ASSAY,Tb Quantiferon Assay,Uncategorized,02 PCC+
THYROID IMAGING,Thyroid Imaging,Laboratory,01 Clinic+
XRAY-FOOT APL/O BILATERAL,X-Ray - Foot Apl/O Bilateral,Imaging,02 PCC+
DIGITAL LARYNGEAL VIDEOSTROBOSCOPY,Digital Laryngeal Videostroboscopy,Uncategorized,02 PCC+
CT SCAN-WHOLE ABDOMEN/PELVIS WITH 3-IOHEXOL TIPPLE CONTRAST,CT Scan - Whole Abdomen/Pelvis,Imaging,03 Hospital Only
H. PYLORI ANTIBODY IGG TEST (BLOOD/SERUM),H. Pylori Antibody Igg Test (Blood/Serum,Laboratory,01 Clinic+
PRO BNP (SEND OUT),Pro Bnp,Uncategorized,02 PCC+
ARTERIAL DUPLEX SCAN UPPER AND LOWER EXTREMITIES,Arterial Duplex Scan Upper And Lower Extremities,Uncategorized,02 PCC+
XRAY-CLAVICLE UNILATERAL,X-Ray - Clavicle Unilateral,Imaging,02 PCC+
CT SCAN-NASOPHARYNX WITH CONTRAST,CT Scan - Nasopharynx,Imaging,03 Hospital Only
FINE NEEDLE ASPIRATION,Fine Needle Aspiration,Uncategorized,02 PCC+
TREATMENT PLANNING IMRT,Treatment Planning Imrt,Uncategorized,02 PCC+
FREE TRIIODOTHYRONINE (FT3) SEND-OUT,Free T3 (FT3),Uncategorized,02 PCC+
LYMPHOCYTE ANTIBODY TEST,Lymphocyte Antibody Test,Laboratory,01 Clinic+
LIVER KIDNEY MICROSOMAL ANTIBODY,Liver Kidney Microsomal Antibody,Laboratory,01 Clinic+
MRA-CAROTID NECK WITH CONTRAST,Mra-Carotid Neck Contrast,Laboratory,01 Clinic+
CPN - DOBUTAMINE STRESS ECHO,Cpn - Dobutamine Stress Echo,Uncategorized,02 PCC+
"THYROID PROFILE (FT3, FT4, TSH)",Thyroid Stimulating Hormone (TSH),Laboratory,01 Clinic+
MTB MULTIPLEX PCR,Mtb Multiplex Pcr,Laboratory,01 Clinic+
KUB ULTRASOUND,Ultrasound,Imaging,02 PCC+
CT SCAN UPPER ABDOMEN WITH CONTRAST MEDIA,CT Scan - Upper Abdomen,Imaging,03 Hospital Only
"LE PANEL (ANA IMMUNOFLUORESCENCE, ANTI DS-DNA, ANTI SNR-NP, ANTI-SM, ANTI-SSA, ANTI-SSB, ANTI-JO-1)","Le Panel (Ana Immunofluorescence, Anti Ds-Dna, Anti Snr-Np, Anti-Sm, Anti-Ssa, Anti-Ssb, Anti-Jo-1",Laboratory,01 Clinic+
INORGANIC PHOSPHORUS,Phosphorus,Uncategorized,02 PCC+
HBA1C - HIGH PERFORMANCE LIQUID CHROMATOGRAPHY (HPLC),HbA1c,Laboratory,01 Clinic+
MRI-BRAIN INTERNAL AUDITORY CANAL W/ CONTRAST,MRI - Brain Internal Auditory Canal,Imaging,03 Hospital Only
